UID         PID   PPID  C STIME TTY          TIME CMD
root        134      2  0  2019 ?        00:00:05 [watchdog/25]
root        135      2  0  2019 ?        00:00:01 [migration/25]
root        136      2  0  2019 ?        00:00:00 [ksoftirqd/25]
root        138      2  0  2019 ?        00:00:00 [kworker/25:0H]
root        139      2  0  2019 ?        00:00:05 [watchdog/26]
root        140      2  0  2019 ?        00:00:05 [migration/26]
root        141      2  0  2019 ?        00:00:19 [ksoftirqd/26]
root        143      2  0  2019 ?        00:00:00 [kworker/26:0H]
root        144      2  0  2019 ?        00:00:05 [watchdog/27]
root        145      2  0  2019 ?        00:00:06 [migration/27]
root        146      2  0  2019 ?        00:00:20 [ksoftirqd/27]
root        148      2  0  2019 ?        00:00:00 [kworker/27:0H]
root        149      2  0  2019 ?        00:00:05 [watchdog/28]
root        150      2  0  2019 ?        00:00:01 [migration/28]
root        151      2  0  2019 ?        00:00:04 [ksoftirqd/28]
root        153      2  0  2019 ?        00:00:00 [kworker/28:0H]
root        154      2  0  2019 ?        00:00:05 [watchdog/29]
root        155      2  0  2019 ?        00:00:01 [migration/29]
root        156      2  0  2019 ?        00:00:02 [ksoftirqd/29]
root        158      2  0  2019 ?        00:00:00 [kworker/29:0H]
root        159      2  0  2019 ?        00:00:05 [watchdog/30]
root        160      2  0  2019 ?        00:00:01 [migration/30]
root        161      2  0  2019 ?        00:00:03 [ksoftirqd/30]
root        163      2  0  2019 ?        00:00:00 [kworker/30:0H]
root        164      2  0  2019 ?        00:00:05 [watchdog/31]
root        165      2  0  2019 ?        00:00:01 [migration/31]
root        166      2  0  2019 ?        00:00:00 [ksoftirqd/31]
root        168      2  0  2019 ?        00:00:00 [kworker/31:0H]
root        169      2  0  2019 ?        00:00:05 [watchdog/32]
root        170      2  0  2019 ?        00:00:02 [migration/32]
root        171      2  0  2019 ?        00:00:15 [ksoftirqd/32]
root        173      2  0  2019 ?        00:00:00 [kworker/32:0H]
root        174      2  0  2019 ?        00:00:05 [watchdog/33]
root        175      2  0  2019 ?        00:00:01 [migration/33]
root        176      2  0  2019 ?        00:00:00 [ksoftirqd/33]
root        178      2  0  2019 ?        00:00:00 [kworker/33:0H]
root        179      2  0  2019 ?        00:00:05 [watchdog/34]
root        180      2  0  2019 ?        00:00:02 [migration/34]
root        181      2  0  2019 ?        00:04:15 [ksoftirqd/34]
root        183      2  0  2019 ?        00:00:00 [kworker/34:0H]
root        184      2  0  2019 ?        00:00:05 [watchdog/35]
root        185      2  0  2019 ?        00:00:01 [migration/35]
root        186      2  0  2019 ?        00:00:01 [ksoftirqd/35]
root        188      2  0  2019 ?        00:00:00 [kworker/35:0H]
root        189      2  0  2019 ?        00:00:05 [watchdog/36]
root        190      2  0  2019 ?        00:00:03 [migration/36]
root        191      2  0  2019 ?        00:04:19 [ksoftirqd/36]
root        193      2  0  2019 ?        00:00:00 [kworker/36:0H]
root        194      2  0  2019 ?        00:00:05 [watchdog/37]
root        195      2  0  2019 ?        00:00:01 [migration/37]
root        196      2  0  2019 ?        00:00:00 [ksoftirqd/37]
root        198      2  0  2019 ?        00:00:00 [kworker/37:0H]
root        199      2  0  2019 ?        00:00:05 [watchdog/38]
root        200      2  0  2019 ?        00:00:02 [migration/38]
root        201      2  0  2019 ?        00:04:15 [ksoftirqd/38]
root        203      2  0  2019 ?        00:00:00 [kworker/38:0H]
root        204      2  0  2019 ?        00:00:05 [watchdog/39]
root        205      2  0  2019 ?        00:00:01 [migration/39]
root        206      2  0  2019 ?        00:00:00 [ksoftirqd/39]
root        208      2  0  2019 ?        00:00:00 [kworker/39:0H]
root        209      2  0  2019 ?        00:00:05 [watchdog/40]
root        210      2  0  2019 ?        00:00:01 [migration/40]
root        211      2  0  2019 ?        00:00:02 [ksoftirqd/40]
root        213      2  0  2019 ?        00:00:00 [kworker/40:0H]
root        214      2  0  2019 ?        00:00:05 [watchdog/41]
root        215      2  0  2019 ?        00:00:01 [migration/41]
root        216      2  0  2019 ?        00:00:00 [ksoftirqd/41]
root        218      2  0  2019 ?        00:00:00 [kworker/41:0H]
root        219      2  0  2019 ?        00:00:05 [watchdog/42]
root        220      2  0  2019 ?        00:00:01 [migration/42]
root        221      2  0  2019 ?        00:00:02 [ksoftirqd/42]
root        223      2  0  2019 ?        00:00:00 [kworker/42:0H]
root        224      2  0  2019 ?        00:00:05 [watchdog/43]
root        225      2  0  2019 ?        00:00:01 [migration/43]
root        226      2  0  2019 ?        00:00:00 [ksoftirqd/43]
root        228      2  0  2019 ?        00:00:00 [kworker/43:0H]
root        229      2  0  2019 ?        00:00:05 [watchdog/44]
root        230      2  0  2019 ?        00:00:01 [migration/44]
root        231      2  0  2019 ?        00:00:02 [ksoftirqd/44]
root        233      2  0  2019 ?        00:00:00 [kworker/44:0H]
root        234      2  0  2019 ?        00:00:06 [watchdog/45]
root        235      2  0  2019 ?        00:00:01 [migration/45]
root        236      2  0  2019 ?        00:00:00 [ksoftirqd/45]
root        238      2  0  2019 ?        00:00:00 [kworker/45:0H]
